step,frac,val_loss,entropy,head_std
0,0.0,9.0,9.01091480255127,0.0
1526,0.0333355178364681,3.4462783336639404,3.4252240657806396,0.133824422955513
3052,0.0666710356729362,3.2612812519073486,3.270362138748169,0.3118794560432434
4578,0.10000655350940428,3.148494005203247,3.125924587249756,0.5357218384742737
6104,0.1333420713458724,3.0526111125946045,3.0057637691497803,0.7379799485206604
7630,0.16667758918234046,2.9706871509552,2.894449234008789,0.8932981491088867
9155,0.19999126198746095,2.9299404621124268,2.8752403259277344,1.0220783948898315
10681,0.23332677982392905,2.9040944576263428,2.8470237255096436,1.1327502727508545
12207,0.2666622976603971,2.8641135692596436,2.76408052444458,1.2287168502807617
13733,0.2999978154968652,2.8402090072631836,2.7580552101135254,1.3126111030578613
15259,0.3333333333333333,2.814880847930908,2.732555389404297,1.3861550092697144
16785,0.3666688511698014,2.7918989658355713,2.77701997756958,1.449978232383728
18311,0.4000043690062695,2.755812644958496,2.725270986557007,1.5051430463790894
19837,0.4333398868427376,2.7539076805114746,2.7114171981811523,1.5526161193847656
21363,0.4666754046792057,2.717078685760498,2.703209161758423,1.593106985092163
22888,0.4999890774843262,2.707465887069702,2.6816155910491943,1.627171516418457
24414,0.5333245953207942,2.7059807777404785,2.6434195041656494,1.6556802988052368
25940,0.5666601131572624,2.6900854110717773,2.640167236328125,1.6789181232452393
27466,0.5999956309937304,2.677609920501709,2.670147657394409,1.697702169418335
28992,0.6333311488301986,2.661360025405884,2.57981014251709,1.7126268148422241
30518,0.6666666666666666,2.658702850341797,2.6227643489837646,1.7242318391799927
32044,0.7000021845031348,2.6422648429870605,2.58770489692688,1.732965111732483
33570,0.7333377023396028,2.624723434448242,2.609265089035034,1.739579677581787
35096,0.766673220176071,2.6108782291412354,2.582488536834717,1.7444016933441162
36622,0.800008738012539,2.6066367626190186,2.597681760787964,1.7478309869766235
38148,0.8333442558490072,2.5981438159942627,2.5931191444396973,1.7502954006195068
39673,0.8666579286541276,2.588789701461792,2.5848405361175537,1.7520076036453247
41199,0.8999934464905958,2.586308240890503,2.567957639694214,1.7532397508621216
42725,0.9333289643270638,2.591546058654785,2.5671544075012207,1.7541331052780151
44251,0.966664482163532,2.5883564949035645,2.597742795944214,1.7548446655273438
45777,1.0,2.5877301692962646,2.57267689704895,1.755503535270691
